disease_id	external_id	source	url	name
DISEASE:221	D001008	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001008	Anxiety Disorders
DISEASE:222	D001014	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001014	Aortic Aneurysm
DISEASE:223	D017544	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D017544	Aortic Aneurysm, Abdominal
DISEASE:224	D017545	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D017545	Aortic Aneurysm, Thoracic
DISEASE:225	PA166048874	PharmGKB	https://www.pharmgkb.org/disease/PA166048874	Aortic Arch Syndromes
DISEASE:226	1457	Orphanet	https://www.orpha.net/en/disease/detail/1457	Aortic Coarctation
DISEASE:227	D001018	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001018	Aortic Diseases
DISEASE:228	D001019	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001019	Aortic Rupture
DISEASE:229	3193	Orphanet	https://www.orpha.net/en/disease/detail/3193	Aortic Stenosis, Supravalvular
DISEASE:230	D001022	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001022	Aortic Valve Insufficiency
DISEASE:231	D001024	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001024	Aortic Valve Stenosis
DISEASE:232	PA165960681	PharmGKB	https://www.pharmgkb.org/disease/PA165960681	Apathy
DISEASE:233	D001035	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001035	Aphakia
DISEASE:234	D001037	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001037	Aphasia
DISEASE:235	D005862	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D005862	Aphasia-angular gyrus syndrome
DISEASE:236	D001049	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001049	Apnea
DISEASE:237	PA166248161	PharmGKB	https://www.pharmgkb.org/disease/PA166248161	apnea of prematurity
DISEASE:238	D001063	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001063	Appendiceal Neoplasms
DISEASE:239	D001064	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001064	Appendicitis NOS
DISEASE:240	D001064	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001064	Appendicitis, unqualified
DISEASE:241	D001072	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001072	Apraxias
DISEASE:242	D015266	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D015266	Apudoma of skin
DISEASE:243	D001112	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001112	Arcus Senilis
DISEASE:244	90	Orphanet	https://www.orpha.net/en/disease/detail/90	Arginase deficiency
DISEASE:245	D001139	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001139	Arnold-Chiari Malformation
DISEASE:246	D001145	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001145	Arrhythmias, Cardiac
DISEASE:247	D001146	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001146	Arrhythmia, Sinus
DISEASE:248	247	Orphanet	https://www.orpha.net/en/disease/detail/247	Arrhythmogenic Right Ventricular Dysplasia
DISEASE:249	D020261	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D020261	Arsenic Poisoning
DISEASE:250	D001157	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001157	Arterial Occlusive Diseases
DISEASE:251	D002573	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D002573	Arterial thoracic outlet syndrome due to cervical rib
DISEASE:252	D001161	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001161	Arteriosclerosis
DISEASE:253	D001162	MeSH	https://meshb.nlm.nih.gov/record/ui?ui=D001162	Arteriosclerosis obliterans
