entity_id	external_id	source	url	name
PROTEIN:12198	Q8NGZ9	UniProt	https://www.uniprot.org/uniprot/Q8NGZ9	Olfactory receptor 2T10 (Olfactory receptor OR1-64)
PROTEIN:12199	Q8NH01	UniProt	https://www.uniprot.org/uniprot/Q8NH01	Olfactory receptor 2T11 (Olfactory receptor OR1-65)
PROTEIN:12200	Q8NG77	UniProt	https://www.uniprot.org/uniprot/Q8NG77	Olfactory receptor 2T12 (Olfactory receptor OR1-57)
PROTEIN:12201	Q8NH04	UniProt	https://www.uniprot.org/uniprot/Q8NH04	Olfactory receptor 2T27 (Olfactory receptor OR1-67)
PROTEIN:12202	Q8NH02	UniProt	https://www.uniprot.org/uniprot/Q8NH02	Olfactory receptor 2T29
PROTEIN:12203	Q8NG76	UniProt	https://www.uniprot.org/uniprot/Q8NG76	Olfactory receptor 2T33 (Olfactory receptor OR1-56)
PROTEIN:12204	Q8NGX1	UniProt	https://www.uniprot.org/uniprot/Q8NGX1	Olfactory receptor 2T34 (Olfactory receptor OR1-63)
PROTEIN:12205	O95190	UniProt	https://www.uniprot.org/uniprot/O95190	Ornithine decarboxylase antizyme 2 (AZ2)
PROTEIN:12206	Q9UMX2	UniProt	https://www.uniprot.org/uniprot/Q9UMX2	Ornithine decarboxylase antizyme 3 (AZ3)
PROTEIN:12207	Q9NX40	UniProt	https://www.uniprot.org/uniprot/Q9NX40	OCIA domain-containing protein 1 (Ovarian cancer immunoreactive antigen domain containing 1)
PROTEIN:12208	Q6PK18	UniProt	https://www.uniprot.org/uniprot/Q6PK18	2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3 (EC 1.14.11.-)
PROTEIN:12209	Q9NZT2	UniProt	https://www.uniprot.org/uniprot/Q9NZT2	Opioid growth factor receptor (OGFr)
PROTEIN:12210	Q99983	UniProt	https://www.uniprot.org/uniprot/Q99983	Osteomodulin (Keratan sulfate proteoglycan osteomodulin)
PROTEIN:12211	P23515	UniProt	https://www.uniprot.org/uniprot/P23515	Oligodendrocyte-myelin glycoprotein
PROTEIN:12212	P47874	UniProt	https://www.uniprot.org/uniprot/P47874	Olfactory marker protein (Olfactory neuronal-specific protein)
PROTEIN:12213	Q8NGQ3	UniProt	https://www.uniprot.org/uniprot/Q8NGQ3	Olfactory receptor 1S2 (Olfactory receptor OR11-231)
